condition,price,ended,vin,make,model,ebay_item_id,winning_bid
used,"US $32,250.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 11, 2023|03:01:24 PD",5YJ3E1EA3KF317362,Tesla,,304881358320,
used,"US $49,100.0","Mar 04, 2023|12:13:26 PS",5YJYGDEF7MF090113,Tesla,,115720843212,
used,"US $50,650.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 17, 2023|11:59:30 PD",5YJYGDEF4MF075519,Tesla,,304830646811,
used,"US $34,500.0","Mar 17, 2023|07:37:58 PD",5YJ3E1EB6JF054582,Tesla,,394507699972,
used,"US $43,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 11, 2023|15:36:23 PD",5YJYGDEE3MF081156,Tesla,,295686980072,
used,"US $42,900.0","May 09, 2023|10:35:03 PD",5YJ3E1EB9NF267354,Tesla,,304930739532,
used,"US $38,900.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 17, 2023|14:50:05 PD",5YJ3E1EB7NF142787,Tesla,,125851473606,
used,"US $28,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 22, 2023|14:27:14 PD",5YJ3E1EA2KF313464,Tesla,,165991281632,
used,"US $25,995.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 16, 2023|21:09:46 PD",5YJSA1DN2DFP10011,Tesla,85,256039717595,
used,"US $30,000.0","Feb 25, 2023|07:55:34 PS",5YJ3E1EB9KF526629,Tesla,,255968531610,
"Certified pre-owned: To qualify for certified pre-owned status, vehicles must meet strict age, ...  Read moreabout the conditionCertified pre-owned: To qualify for certified pre-owned status, vehicles must meet strict age, mileage, and inspection requirements established by their manufacturers. Certified pre-owned cars are often sold with warranty, financing and roadside assistance options similar to their new counterparts. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ","US $51,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 20, 2023|10:35:40 PD",7saygdef6nf463999,Tesla,,195666636310,
used,"US $36,800.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 30, 2023|06:56:30 PD",5YJ3E1EA3KF398217,Tesla,,134506187410,
used,"US $48,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 17, 2023|14:42:29 PD",5YJSA1E48HF218286,Tesla,,304894397281,
used,"US $85,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 09, 2023|16:55:24 PD",5YJSA1E67MF432049,Tesla,,234992555752,
used,"US $42,500.0","Mar 02, 2023|16:19:27 PS",5YJ3E1EB4JF072174,Tesla,,115704814729,
used,"US $48,200.0","May 02, 2023|09:25:03 PD",5YJSA1E27MF418097,Tesla,Only 20400 Miles! Supercharging Enable.,334856831270,
used,"US $25,000.0","Mar 06, 2023|11:37:14 PS",5YJ3E1EA8LF598690,Tesla,,195641587549,
used,"US $19,950.0","Mar 13, 2023|03:43:12 PD",7SAYGDEE7NF386969,Tesla,AWD Long Range 4dr Crossover,175648163569,
